wavelength [nm],absorbance
500.00000, 0.45495988
500.01500, 0.45349370
500.03000, 0.45090725
500.04500, 0.44722069
500.06001, 0.44246238
500.07501, 0.43666862
500.09001, 0.42988319
500.10501, 0.42215688
500.12001, 0.41354690
500.13501, 0.40411627
500.15002, 0.39393313
500.16502, 0.38306997
500.18002, 0.37160294
500.19502, 0.35961103
500.21002, 0.34717530
500.22502, 0.33437812
500.24002, 0.32130241
500.25503, 0.30803094
500.27003, 0.29464563
500.28503, 0.28122695
500.30003, 0.26785330
500.31503, 0.25460056
500.33003, 0.24154158
500.34503, 0.22874589
500.36004, 0.21627930
500.37504, 0.20420373
500.39004, 0.19257705
500.40504, 0.18145294
500.42004, 0.17088087
500.43504, 0.16090613
500.45005, 0.15156988
500.46505, 0.14290927
500.48005, 0.13495757
500.49505, 0.12774437
500.51005, 0.12129572
500.52505, 0.11563434
500.54005, 0.11077984
500.55506, 0.10674889
500.57006, 0.10355537
500.58506, 0.10121059
500.60006, 0.09972333
500.61506, 0.09910000
500.63006, 0.09934467
500.64506, 0.10045909
500.66007, 0.10244271
500.67507, 0.10529257
500.69007, 0.10900323
500.70507, 0.11356666
500.72007, 0.11897206
500.73507, 0.12520566
500.75008, 0.13225056
500.76508, 0.14008647
500.78008, 0.14868947
500.79508, 0.15803183
500.81008, 0.16808177
500.82508, 0.17880325
500.84008, 0.19015583
500.85509, 0.20209452
500.87009, 0.21456969
500.88509, 0.22752703
500.90009, 0.24090761
500.91509, 0.25464791
500.93009, 0.26868006
500.94509, 0.28293198
500.96010, 0.29732776
500.97510, 0.31178803
500.99010, 0.32623039
501.00510, 0.34057001
501.02010, 0.35472015
501.03510, 0.36859291
501.05011, 0.38209987
501.06511, 0.39515293
501.08011, 0.40766507
501.09511, 0.41955119
501.11011, 0.43072895
501.12511, 0.44111961
501.14011, 0.45064885
501.15512, 0.45924760
501.17012, 0.46685276
501.18512, 0.47340792
501.20012, 0.47886402
501.21512, 0.48317989
501.23012, 0.48632273
501.24512, 0.48826852
501.26013, 0.48900228
501.27513, 0.48851822
501.29013, 0.48681988
501.30513, 0.48392000
501.32013, 0.47984040
501.33513, 0.47461174
501.35014, 0.46827310
501.36514, 0.46087156
501.38014, 0.45246162
501.39514, 0.44310457
501.41014, 0.43286781
501.42514, 0.42182409
501.44014, 0.41005069
501.45515, 0.39762862
501.47015, 0.38464177
501.48515, 0.37117606
501.50015, 0.35731859
501.51515, 0.34315689
501.53015, 0.32877804
501.54515, 0.31426805
501.56016, 0.29971110
501.57516, 0.28518897
501.59016, 0.27078049
501.60516, 0.25656106
501.62016, 0.24260226
501.63516, 0.22897157
501.65017, 0.21573207
501.66517, 0.20294237
501.68017, 0.19065646
501.69517, 0.17892374
501.71017, 0.16778905
501.72517, 0.15729281
501.74017, 0.14747117
501.75518, 0.13835621
501.77018, 0.12997618
501.78518, 0.12235577
501.80018, 0.11551639
501.81518, 0.10947643
501.83018, 0.10425156
501.84518, 0.09985498
501.86019, 0.09629768
501.87519, 0.09358864
501.89019, 0.09173504
501.90519, 0.09074237
501.92019, 0.09061454
501.93519, 0.09135396
501.95020, 0.09296152
501.96520, 0.09543655
501.98020, 0.09877672
501.99520, 0.10297793
502.01020, 0.10803410
502.02520, 0.11393695
502.04020, 0.12067579
502.05521, 0.12823716
502.07021, 0.13660463
502.08521, 0.14575838
502.10021, 0.15567500
502.11521, 0.16632711
502.13021, 0.17768309
502.14521, 0.18970684
502.16022, 0.20235753
502.17522, 0.21558946
502.19022, 0.22935188
502.20522, 0.24358899
502.22022, 0.25823990
502.23522, 0.27323876
502.25023, 0.28851488
502.26523, 0.30399302
502.28023, 0.31959368
502.29523, 0.33523357
502.31023, 0.35082607
502.32523, 0.36628183
502.34023, 0.38150944
502.35524, 0.39641612
502.37024, 0.41090855
502.38524, 0.42489366
502.40024, 0.43827956
502.41524, 0.45097635
502.43024, 0.46289713
502.44524, 0.47395883
502.46025, 0.48408314
502.47525, 0.49319736
502.49025, 0.50123521
502.50525, 0.50813761
502.52025, 0.51385332
502.53525, 0.51833960
502.55026, 0.52156264
502.56526, 0.52349803
502.58026, 0.52413104
502.59526, 0.52345673
502.61026, 0.52148011
502.62526, 0.51821598
502.64026, 0.51368882
502.65527, 0.50793245
502.67027, 0.50098962
502.68527, 0.49291152
502.70027, 0.48375715
502.71527, 0.47359265
502.73027, 0.46249052
502.74527, 0.45052881
502.76028, 0.43779024
502.77528, 0.42436132
502.79028, 0.41033141
502.80528, 0.39579184
502.82028, 0.38083499
502.83528, 0.36555341
502.85029, 0.35003899
502.86529, 0.33438217
502.88029, 0.31867122
502.89529, 0.30299159
502.91029, 0.28742530
502.92529, 0.27205048
502.94029, 0.25694094
502.95530, 0.24216583
502.97030, 0.22778944
502.98530, 0.21387101
503.00030, 0.20046470
503.01530, 0.18761956
503.03030, 0.17537967
503.04530, 0.16378423
503.06031, 0.15286782
503.07531, 0.14266063
503.09031, 0.13318879
503.10531, 0.12447465
503.12031, 0.11653720
503.13531, 0.10939237
503.15032, 0.10305343
503.16532, 0.09753135
503.18032, 0.09283510
503.19532, 0.08897201
503.21032, 0.08594803
503.22532, 0.08376794
503.24032, 0.08243560
503.25533, 0.08195405
503.27033, 0.08232563
503.28533, 0.08355198
503.30033, 0.08563406
503.31533, 0.08857201
503.33033, 0.09236508
503.34533, 0.09701140
503.36034, 0.10250775
503.37534, 0.10884928
503.39034, 0.11602919
503.40534, 0.12403838
503.42034, 0.13286505
503.43534, 0.14249438
503.45035, 0.15290804
503.46535, 0.16408389
503.48035, 0.17599554
503.49535, 0.18861204
503.51035, 0.20189757
503.52535, 0.21581115
503.54035, 0.23030644
503.55536, 0.24533159
503.57036, 0.26082919
503.58536, 0.27673625
503.60036, 0.29298429
503.61536, 0.30949954
503.63036, 0.32620320
503.64536, 0.34301183
503.66037, 0.35983776
503.67537, 0.37658972
503.69037, 0.39317340
503.70537, 0.40949222
503.72037, 0.42544811
503.73537, 0.44094234
503.75038, 0.45587648
503.76538, 0.47015327
503.78038, 0.48367768
503.79538, 0.49635782
503.81038, 0.50810593
503.82538, 0.51883939
503.84038, 0.52848158
503.85539, 0.53696279
503.87039, 0.54422100
503.88539, 0.55020264
503.90039, 0.55486321
503.91539, 0.55816781
503.93039, 0.56009156
503.94539, 0.56061989
503.96040, 0.55974877
503.97540, 0.55748469
503.99040, 0.55384461
504.00540, 0.54885575
