wavelength [nm],intensity
600.00000, 0.00000000
600.20020, 0.00000000
600.40040, 0.00000000
600.60060, 0.00000000
600.80080, 0.00000000
601.00100, 0.00000000
601.20120, 0.00000000
601.40140, 0.00000000
601.60160, 0.00000000
601.80180, 0.00000000
602.00200, 0.00000000
602.20220, 0.00000000
602.40240, 0.00000000
602.60260, 0.00000000
602.80280, 0.00000000
603.00300, 0.00000000
603.20320, 0.00000000
603.40340, 0.00000000
603.60360, 0.00000000
603.80380, 0.00000000
604.00400, 0.00000000
604.20420, 0.00000000
604.40440, 0.00000000
604.60460, 0.00000000
604.80480, 0.00000000
605.00501, 0.00000000
605.20521, 0.00000000
605.40541, 0.00000000
605.60561, 0.00000000
605.80581, 0.00000000
606.00601, 0.00000000
606.20621, 0.00000000
606.40641, 0.00000000
606.60661, 0.00000000
606.80681, 0.00000000
607.00701, 0.00000000
607.20721, 0.00000000
607.40741, 0.00000000
607.60761, 0.00000000
607.80781, 0.00000001
608.00801, 0.00000001
608.20821, 0.00000003
608.40841, 0.00000008
608.60861, 0.00000017
608.80881, 0.00000035
609.00901, 0.00000070
609.20921, 0.00000135
609.40941, 0.00000249
609.60961, 0.00000441
609.80981, 0.00000751
610.01001, 0.00001229
610.21021, 0.00001930
610.41041, 0.00002913
610.61061, 0.00004223
610.81081, 0.00005883
611.01101, 0.00007872
611.21121, 0.00010121
611.41141, 0.00012501
611.61161, 0.00014834
611.81181, 0.00016911
612.01201, 0.00018521
612.21221, 0.00019488
612.41241, 0.00019699
612.61261, 0.00019131
612.81281, 0.00017849
613.01301, 0.00015998
613.21321, 0.00013776
613.41341, 0.00011397
613.61361, 0.00009058
613.81381, 0.00006916
614.01401, 0.00005073
614.21421, 0.00003575
614.41441, 0.00002421
614.61461, 0.00001575
614.81481, 0.00000984
615.01502, 0.00000591
615.21522, 0.00000341
615.41542, 0.00000190
615.61562, 0.00000103
615.81582, 0.00000058
616.01602, 0.00000041
616.21622, 0.00000049
616.41642, 0.00000090
616.61662, 0.00000189
616.81682, 0.00000397
617.01702, 0.00000806
617.21722, 0.00001577
617.41742, 0.00002964
617.61762, 0.00005352
617.81782, 0.00009285
618.01802, 0.00015475
618.21822, 0.00024778
618.41842, 0.00038117
618.61862, 0.00056332
618.81882, 0.00079980
619.01902, 0.00109096
619.21922, 0.00142963
619.41942, 0.00179985
619.61962, 0.00217690
619.81982, 0.00252951
620.02002, 0.00282376
620.22022, 0.00302839
620.42042, 0.00312025
620.62062, 0.00308860
620.82082, 0.00293715
621.02102, 0.00268339
621.22122, 0.00235524
621.42142, 0.00198600
621.62162, 0.00160886
621.82182, 0.00125213
622.02202, 0.00093621
622.22222, 0.00067250
622.42242, 0.00046409
622.62262, 0.00030769
622.82282, 0.00019598
623.02302, 0.00011992
623.22322, 0.00007051
623.42342, 0.00003983
623.62362, 0.00002165
623.82382, 0.00001139
624.02402, 0.00000598
624.22422, 0.00000356
624.42442, 0.00000331
624.62462, 0.00000534
624.82482, 0.00001092
625.02503, 0.00002304
625.22523, 0.00004737
625.42543, 0.00009381
625.62563, 0.00017858
625.82583, 0.00032663
626.02603, 0.00057395
626.22623, 0.00096893
626.42643, 0.00157146
626.62663, 0.00244854
626.82683, 0.00366525
627.02703, 0.00527101
627.22723, 0.00728246
627.42743, 0.00966619
627.62763, 0.01232611
627.82783, 0.01510046
628.02803, 0.01777247
628.22823, 0.02009550
628.42843, 0.02182947
628.62863, 0.02278143
628.82883, 0.02284086
629.02903, 0.02200073
629.22923, 0.02035894
629.42943, 0.01809951
629.62963, 0.01545866
629.82983, 0.01268441
630.03003, 0.00999913
630.23023, 0.00757264
630.43043, 0.00550968
630.63063, 0.00385122
630.83083, 0.00258621
631.03103, 0.00166849
631.23123, 0.00103413
631.43143, 0.00061578
631.63163, 0.00035228
631.83183, 0.00019366
632.03203, 0.00010239
632.23223, 0.00005233
632.43243, 0.00002653
632.63263, 0.00001504
632.83283, 0.00001315
633.03303, 0.00002066
633.23323, 0.00004229
633.43343, 0.00008980
633.63363, 0.00018598
633.83383, 0.00037110
634.03403, 0.00071176
634.23423, 0.00131163
634.43443, 0.00232214
634.63463, 0.00394966
634.83483, 0.00645394
635.03504, 0.01013174
635.23524, 0.01528044
635.43544, 0.02214020
635.63564, 0.03081914
635.83584, 0.04121477
636.03604, 0.05295155
636.23624, 0.06535787
636.43644, 0.07750158
636.63664, 0.08829104
636.83684, 0.09663093
637.03704, 0.10160360
637.23724, 0.10263500
637.43744, 0.09960365
637.63764, 0.09286423
637.83784, 0.08317927
638.03804, 0.07157728
638.23824, 0.05917369
638.43844, 0.04699759
638.63864, 0.03586047
638.83884, 0.02628752
639.03904, 0.01851300
639.23924, 0.01252557
639.43944, 0.00814163
639.63964, 0.00508416
639.83984, 0.00305015
640.04004, 0.00175800
640.24024, 0.00097348
640.44044, 0.00051799
640.64064, 0.00026513
640.84084, 0.00013127
641.04104, 0.00006484
641.24124, 0.00003682
641.44144, 0.00003422
641.64164, 0.00005709
641.84184, 0.00011957
642.04204, 0.00025587
642.24224, 0.00053214
642.44244, 0.00106542
642.64264, 0.00205008
642.84284, 0.00379002
643.04304, 0.00673149
643.24324, 0.01148617
643.44344, 0.01882923
643.64364, 0.02965400
643.84384, 0.04486706
644.04404, 0.06521767
644.24424, 0.09107440
644.44444, 0.12218583
644.64464, 0.15748485
644.84484, 0.19500698
645.04505, 0.23198235
645.24525, 0.26512651
645.44545, 0.29110174
645.64565, 0.30706468
645.84585, 0.31117761
646.04605, 0.30295649
646.24625, 0.28336460
646.44645, 0.25462695
646.64665, 0.21981461
646.84685, 0.18230651
647.04705, 0.14525838
647.24725, 0.11119203
647.44745, 0.08177105
647.64765, 0.05777220
647.84785, 0.03921314
648.04805, 0.02557042
648.24825, 0.01601907
648.44845, 0.00964119
648.64865, 0.00557465
648.84885, 0.00309672
649.04905, 0.00165273
649.24925, 0.00084766
649.44945, 0.00041838
649.64965, 0.00020035
649.84985, 0.00009735
650.05005, 0.00005850
650.25025, 0.00006366
650.45045, 0.00011763
650.65065, 0.00025330
650.85085, 0.00054508
651.05105, 0.00113478
651.25125, 0.00227238
651.45145, 0.00437254
651.65165, 0.00808343
651.85185, 0.01435667
652.05205, 0.02449660
652.25225, 0.04015607
652.45245, 0.06323976
652.65265, 0.09568030
652.85285, 0.13907477
653.05305, 0.19420820
653.25325, 0.26054347
653.45345, 0.33580430
653.65365, 0.41580121
653.85385, 0.49462796
654.05405, 0.56528180
654.25425, 0.62064715
654.45445, 0.65466324
654.65465, 0.66341391
654.85485, 0.64586926
655.05506, 0.60408504
655.25526, 0.54280641
655.45546, 0.46858166
655.65566, 0.38861452
655.85586, 0.30963225
656.05606, 0.23701006
656.25626, 0.17429334
656.45646, 0.12313690
656.65666, 0.08357745
656.85686, 0.05449835
657.05706, 0.03414060
657.25726, 0.02054718
657.45746, 0.01188029
657.65766, 0.00659927
657.85786, 0.00352179
658.05806, 0.00180575
658.25826, 0.00088990
658.45846, 0.00042247
658.65866, 0.00019583
658.85886, 0.00009552
659.05906, 0.00006547
659.25926, 0.00008839
659.45946, 0.00017970
659.65966, 0.00039475
659.85986, 0.00085113
660.06006, 0.00176943
660.26026, 0.00353607
660.46046, 0.00678960
660.66066, 0.01252475
660.86086, 0.02219669
661.06106, 0.03779209
661.26126, 0.06181689
661.46146, 0.09714194
661.66166, 0.14665600
661.86186, 0.21270922
662.06206, 0.29639183
662.26226, 0.39677068
662.46246, 0.51027740
662.66266, 0.63047304
662.86286, 0.74837649
663.06306, 0.85342857
663.26326, 0.93499145
663.46346, 0.98410521
663.66366, 0.99510486
663.86386, 0.96669525
664.06406, 0.90220193
664.26426, 0.80893074
664.46446, 0.69680676
664.66466, 0.57664270
664.86486, 0.45845283
665.06507, 0.35016759
665.26527, 0.25695121
665.46547, 0.18114185
665.66567, 0.12268186
665.86587, 0.07982434
666.06607, 0.04989807
666.26627, 0.02996578
666.46647, 0.01728864
666.66667, 0.00958274
666.86687, 0.00510286
667.06707, 0.00261059
667.26727, 0.00128324
667.46747, 0.00060644
667.66767, 0.00027660
667.86787, 0.00012468
668.06807, 0.00006311
668.26827, 0.00005303
668.46847, 0.00008779
668.66867, 0.00018998
668.86887, 0.00042141
669.06907, 0.00090780
669.26927, 0.00188200
669.46947, 0.00374942
669.66967, 0.00717665
669.86987, 0.01319700
670.07007, 0.02331432
670.27027, 0.03956980
670.47047, 0.06452060
670.67067, 0.10107096
670.87087, 0.15210650
671.07107, 0.21991891
671.27127, 0.30547158
671.47147, 0.40763595
671.67167, 0.52259778
671.87187, 0.64365934
672.07207, 0.76161942
672.27227, 0.86579160
672.47247, 0.94554489
672.67267, 0.99207468
672.87287, 1.00000000
673.07307, 0.96838724
673.27327, 0.90093103
673.47347, 0.80524392
673.67367, 0.69144365
673.87387, 0.57040005
674.07407, 0.45205964
674.27427, 0.34419563
674.47447, 0.25177255
674.67467, 0.17693137
674.87487, 0.11945236
675.07508, 0.07747794
675.27528, 0.04827861
675.47548, 0.02890180
675.67568, 0.01662220
675.87588, 0.00918429
676.07608, 0.00487524
676.27628, 0.00248623
676.47648, 0.00121813
676.67668, 0.00057346
676.87688, 0.00025964
677.07708, 0.00011373
677.27728, 0.00005002
677.47748, 0.00002678
677.67768, 0.00002731
677.87788, 0.00005135
678.07808, 0.00011443
678.27828, 0.00025454
678.47848, 0.00054724
678.67868, 0.00113134
678.87888, 0.00224729
679.07908, 0.00428872
679.27928, 0.00786307
679.47948, 0.01385002
679.67968, 0.02343699
679.87988, 0.03810191
680.08008, 0.05950933
680.28028, 0.08929287
680.48048, 0.12871878
680.68068, 0.17826272
680.88088, 0.23717698
681.08108, 0.30316424
681.28128, 0.37228612
681.48148, 0.43920688
681.68168, 0.49779995
681.88188, 0.54204331
682.08208, 0.56703067
682.28228, 0.56986573
682.48248, 0.55021441
682.68268, 0.51036960
682.88288, 0.45481111
683.08308, 0.38937741
683.28328, 0.32026086
683.48348, 0.25306402
683.68368, 0.19211018
683.88388, 0.14010827
684.08408, 0.09816814
684.28428, 0.06608012
684.48448, 0.04273311
684.68468, 0.02654921
684.88488, 0.01584645
685.08509, 0.00908670
685.28529, 0.00500580
685.48549, 0.00264932
685.68569, 0.00134707
685.88589, 0.00065802
686.08609, 0.00030881
686.28629, 0.00013924
686.48649, 0.00006036
686.68669, 0.00002526
686.88689, 0.00001049
687.08709, 0.00000505
687.28729, 0.00000444
687.48749, 0.00000781
687.68769, 0.00001719
687.88789, 0.00003812
688.08809, 0.00008182
688.28829, 0.00016888
688.48849, 0.00033494
688.68869, 0.00063820
688.88889, 0.00116829
689.08909, 0.00205463
689.28929, 0.00347147
689.48949, 0.00563489
689.68969, 0.00878720
689.88989, 0.01316465
690.09009, 0.01894792
690.29029, 0.02620036
690.49049, 0.03480539
690.69069, 0.04442005
690.89089, 0.05446343
691.09109, 0.06415410
691.29129, 0.07260010
691.49149, 0.07893025
691.69169, 0.08244098
691.89189, 0.08272490
692.09209, 0.07974855
692.29229, 0.07385888
692.49249, 0.06571675
692.69269, 0.05617498
692.89289, 0.04613209
693.09309, 0.03639626
693.29329, 0.02758696
693.49349, 0.02008835
693.69369, 0.01405330
693.89389, 0.00944508
694.09409, 0.00609855
694.29429, 0.00378304
694.49449, 0.00225449
694.69469, 0.00129077
694.89489, 0.00070998
695.09510, 0.00037517
695.29530, 0.00019046
695.49550, 0.00009289
695.69570, 0.00004353
695.89590, 0.00001960
696.09610, 0.00000849
696.29630, 0.00000357
696.49650, 0.00000155
696.69670, 0.00000092
696.89690, 0.00000121
697.09710, 0.00000262
697.29730, 0.00000622
697.49750, 0.00001445
697.69770, 0.00003235
697.89790, 0.00006959
698.09810, 0.00014383
698.29830, 0.00028560
698.49850, 0.00054482
698.69870, 0.00099850
698.89890, 0.00175805
699.09910, 0.00297379
699.29930, 0.00483261
699.49950, 0.00754479
699.69970, 0.01131634
699.89990, 0.01630641
700.10010, 0.02257376
700.30030, 0.03002222
700.50050, 0.03835971
700.70070, 0.04708702
700.90090, 0.05552908
701.10110, 0.06291196
701.30130, 0.06847615
701.50150, 0.07160427
701.70170, 0.07193362
701.90190, 0.06942539
702.10210, 0.06437218
702.30230, 0.05734182
702.50250, 0.04907250
702.70270, 0.04034580
702.90290, 0.03186778
703.10310, 0.02418237
703.30330, 0.01762947
703.50350, 0.01234733
703.70370, 0.00830807
703.90390, 0.00537058
704.10410, 0.00333530
704.30430, 0.00198995
704.50450, 0.00114063
704.70470, 0.00062811
704.90490, 0.00033230
705.10511, 0.00016889
705.30531, 0.00008247
705.50551, 0.00003869
705.70571, 0.00001744
705.90591, 0.00000758
706.10611, 0.00000324
706.30631, 0.00000156
706.50651, 0.00000135
706.70671, 0.00000255
706.90691, 0.00000634
707.10711, 0.00001596
707.30731, 0.00003887
707.50751, 0.00009107
707.70771, 0.00020499
707.90791, 0.00044330
708.10811, 0.00092101
708.30831, 0.00183831
708.50851, 0.00352507
708.70871, 0.00649397
708.90891, 0.01149335
709.10911, 0.01954232
709.30931, 0.03192267
709.50951, 0.05009744
709.70971, 0.07553103
709.90991, 0.10940285
